         232641244 function calls (232621006 primitive calls) in 406.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1296    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:58(__init__)
     2316    0.003    0.000    0.048    0.000 <frozen importlib._bootstrap>:385(cached)
     1765    0.003    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
     1263    0.003    0.000    0.654    0.001 <frozen importlib._bootstrap_external>:1406(find_spec)
     1089    0.003    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
     1296    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:185(cb)
   672/41    0.003    0.000    2.502    0.061 {built-in method builtins.__import__}
     9060    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
      105    0.003    0.000    0.128    0.001 _distn_infrastructure.py:1723(__init__)
    24030    0.003    0.000    0.003    0.000 {method 'bit_length' of 'int' objects}
     9034    0.003    0.000    0.003    0.000 {built-in method nt.fspath}
     1078    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       36    0.003    0.000    0.006    0.000 util.py:182(_collapse_string_to_ranges)
   1735/6    0.002    0.000    2.652    0.442 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     1515    0.002    0.000    0.004    0.000 typing.py:712(__setattr__)
     1305    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap>:156(__enter__)
     1089    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
       78    0.002    0.000    0.064    0.001 {built-in method builtins.sorted}
     1342    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:351(__init__)
     1024    0.002    0.000    0.047    0.000 __init__.py:2100(dist_factory)
    10186    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
  415/116    0.002    0.000    0.056    0.000 sre_parse.py:435(_parse_sub)
     1710    0.002    0.000    0.221    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      501    0.002    0.000    0.004    0.000 typing.py:137(_type_check)
    10186    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
        1    0.002    0.002    0.002    0.002 ismags.py:227(ISMAGS)
      409    0.002    0.000    0.090    0.000 re.py:289(_compile)
    10002    0.002    0.000    0.002    0.000 _collections_abc.py:802(__init__)
       27    0.002    0.000    0.006    0.000 enum.py:179(__new__)
      244    0.002    0.000    0.063    0.000 __init__.py:2151(distributions_from_metadata)
     3024    0.002    0.000    0.003    0.000 util.py:185(is_consecutive)
      261    0.002    0.000    0.002    0.000 {built-in method _abc._abc_init}
     1089    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:35(_new_module)
     2066    0.002    0.000    0.008    0.000 enum.py:358(__call__)
      124    0.002    0.000    0.021    0.000 _distn_infrastructure.py:714(_construct_argparser)
      274    0.002    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
